All Data
total samples in time period [organic, carbonate] [9136.0, 16246.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Europe, 20.0, 0.22, 19.0, 0.12, 39.0, 0.15
Poland, 8.0, 0.09, 7.0, 0.04, 15.0, 0.06
Germany, 10.0, 0.11, 6.0, 0.04, 16.0, 0.06
UK, 679.0, 7.43, 489.0, 3.01, 1168.0, 4.6
Portugal, 136.0, 1.49, 2095.0, 12.9, 2231.0, 8.79
Columbia, 134.0, 1.47, 0.0, 0.0, 134.0, 0.53
Ukraine, 95.0, 1.04, 0.0, 0.0, 95.0, 0.37
Japan, 205.0, 2.24, 1.0, 0.01, 206.0, 0.81
Argentina, 26.0, 0.28, 0.0, 0.0, 26.0, 0.1
North Pacific Ocean, 29.0, 0.32, 29.0, 0.18, 58.0, 0.23
North America, 7.0, 0.08, 7.0, 0.04, 14.0, 0.06
North Atlantic Ocean, 60.0, 0.66, 60.0, 0.37, 120.0, 0.47
South Atlantic Ocean, 7.0, 0.08, 7.0, 0.04, 14.0, 0.06
Azerbaijan, 14.0, 0.15, 14.0, 0.09, 28.0, 0.11
Arctic Ocean Basin, 20.0, 0.22, 20.0, 0.12, 40.0, 0.16
Iran, 10.0, 0.11, 10.0, 0.06, 20.0, 0.08
Africa, 3.0, 0.03, 3.0, 0.02, 6.0, 0.02
Middle East, 6.0, 0.07, 6.0, 0.04, 12.0, 0.05
Cape Verde, 7.0, 0.08, 7.0, 0.04, 14.0, 0.06
South America, 4.0, 0.04, 4.0, 0.02, 8.0, 0.03
Greece, 9.0, 0.1, 9.0, 0.06, 18.0, 0.07
Barents Sea, 9.0, 0.1, 9.0, 0.06, 18.0, 0.07
Eurasia, 2.0, 0.02, 2.0, 0.01, 4.0, 0.02
Pakistan, 30.0, 0.33, 0.0, 0.0, 30.0, 0.12

Phanerozoic
total samples in time period [organic, carbonate] [5980.0, 5672.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
USA, 1991.0, 33.29, 1238.0, 21.83, 3229.0, 27.71
Russia, 120.0, 2.01, 473.0, 8.34, 593.0, 5.09
Spitsbergen, 6.0, 0.1, 9.0, 0.16, 15.0, 0.13
India, 95.0, 1.59, 94.0, 1.66, 189.0, 1.62
Mongolia, 0.0, 0.0, 427.0, 7.53, 427.0, 3.66
Canada, 147.0, 2.46, 28.0, 0.49, 175.0, 1.5
China, 214.0, 3.58, 124.0, 2.19, 338.0, 2.9
France, 2.0, 0.03, 8.0, 0.14, 10.0, 0.09
Spain, 0.0, 0.0, 46.0, 0.81, 46.0, 0.39
Namibia, 13.0, 0.22, 13.0, 0.23, 26.0, 0.22
Austria, 109.0, 1.82, 0.0, 0.0, 109.0, 0.94
Slovenia, 77.0, 1.29, 0.0, 0.0, 77.0, 0.66
Hungary, 29.0, 0.48, 0.0, 0.0, 29.0, 0.25
Czechia, 1.0, 0.02, 0.0, 0.0, 1.0, 0.01
Europe, 20.0, 0.33, 19.0, 0.33, 39.0, 0.33
Poland, 8.0, 0.13, 7.0, 0.12, 15.0, 0.13
Germany, 10.0, 0.17, 6.0, 0.11, 16.0, 0.14
UK, 679.0, 11.35, 489.0, 8.62, 1168.0, 10.02
Australia, 1427.0, 23.86, 355.0, 6.26, 1782.0, 15.29
Sweden, 59.0, 0.99, 19.0, 0.33, 78.0, 0.67
Portugal, 136.0, 2.27, 2095.0, 36.94, 2231.0, 19.15
Columbia, 134.0, 2.24, 0.0, 0.0, 134.0, 1.15
Ukraine, 95.0, 1.59, 0.0, 0.0, 95.0, 0.82
South Africa, 3.0, 0.05, 31.0, 0.55, 34.0, 0.29
Japan, 205.0, 3.43, 1.0, 0.02, 206.0, 1.77
Denmark, 87.0, 1.45, 0.0, 0.0, 87.0, 0.75
Greenland, 67.0, 1.12, 0.0, 0.0, 67.0, 0.58
Argentina, 26.0, 0.43, 0.0, 0.0, 26.0, 0.22
North Pacific Ocean, 29.0, 0.48, 29.0, 0.51, 58.0, 0.5
North America, 7.0, 0.12, 7.0, 0.12, 14.0, 0.12
North Atlantic Ocean, 60.0, 1.0, 60.0, 1.06, 120.0, 1.03
South Atlantic Ocean, 7.0, 0.12, 7.0, 0.12, 14.0, 0.12
Azerbaijan, 14.0, 0.23, 14.0, 0.25, 28.0, 0.24
Arctic Ocean Basin, 20.0, 0.33, 20.0, 0.35, 40.0, 0.34
Iran, 10.0, 0.17, 10.0, 0.18, 20.0, 0.17
Africa, 3.0, 0.05, 3.0, 0.05, 6.0, 0.05
Middle East, 6.0, 0.1, 6.0, 0.11, 12.0, 0.1
Cape Verde, 7.0, 0.12, 7.0, 0.12, 14.0, 0.12
Morocco, 3.0, 0.05, 3.0, 0.05, 6.0, 0.05
South America, 4.0, 0.07, 4.0, 0.07, 8.0, 0.07
Greece, 9.0, 0.15, 9.0, 0.16, 18.0, 0.15
Barents Sea, 9.0, 0.15, 9.0, 0.16, 18.0, 0.15
Eurasia, 2.0, 0.03, 2.0, 0.04, 4.0, 0.03
Pakistan, 30.0, 0.5, 0.0, 0.0, 30.0, 0.26

Neoproterozoic
total samples in time period [organic, carbonate] [1659.0, 5823.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Australia, 330.0, 19.89, 788.0, 13.53, 1118.0, 14.94
Russia, 125.0, 7.53, 824.0, 14.15, 949.0, 12.68
USA, 86.0, 5.18, 87.0, 1.49, 173.0, 2.31
Kazakhstan, 6.0, 0.36, 0.0, 0.0, 6.0, 0.08
Canada, 532.0, 32.07, 1944.0, 33.38, 2476.0, 33.09
Spain, 5.0, 0.3, 0.0, 0.0, 5.0, 0.07
Norway, 14.0, 0.84, 68.0, 1.17, 82.0, 1.1
China, 49.0, 2.95, 179.0, 3.07, 228.0, 3.05
Sweden, 53.0, 3.19, 23.0, 0.39, 76.0, 1.02
Scotland, 5.0, 0.3, 81.0, 1.39, 86.0, 1.15
Svalbard, 117.0, 7.05, 428.0, 7.35, 545.0, 7.28
Democratic Republic of the Congo, 0.0, 0.0, 8.0, 0.14, 8.0, 0.11
Morocco, 0.0, 0.0, 43.0, 0.74, 43.0, 0.57
Namibia, 144.0, 8.68, 542.0, 9.31, 686.0, 9.17
Oman, 1.0, 0.06, 28.0, 0.48, 29.0, 0.39
Greenland, 48.0, 2.89, 83.0, 1.43, 131.0, 1.75
South Africa, 12.0, 0.72, 17.0, 0.29, 29.0, 0.39
India, 3.0, 0.18, 178.0, 3.06, 181.0, 2.42
Spitsbergen, 23.0, 1.39, 7.0, 0.12, 30.0, 0.4
Brazil, 57.0, 3.44, 182.0, 3.13, 239.0, 3.19
Bolivia, 2.0, 0.12, 0.0, 0.0, 2.0, 0.03
Mauritania, 0.0, 0.0, 210.0, 3.61, 210.0, 2.81
Svalbard and Greenland, 0.0, 0.0, 26.0, 0.45, 26.0, 0.35
Mongolia, 47.0, 2.83, 77.0, 1.32, 124.0, 1.66

Mesoproterozoic
total samples in time period [organic, carbonate] [295.0, 1519.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
USA, 78.0, 26.44, 281.0, 18.5, 359.0, 19.79
Australia, 82.0, 27.8, 253.0, 16.66, 335.0, 18.47
Russia, 20.0, 6.78, 211.0, 13.89, 231.0, 12.73
China, 57.0, 19.32, 343.0, 22.58, 400.0, 22.05
Canada, 40.0, 13.56, 239.0, 15.73, 279.0, 15.38
Zambia, 0.0, 0.0, 15.0, 0.99, 15.0, 0.83
India, 5.0, 1.69, 109.0, 7.18, 114.0, 6.28
Mozambique Belt, 0.0, 0.0, 10.0, 0.66, 10.0, 0.55
Finland, 1.0, 0.34, 0.0, 0.0, 1.0, 0.06
Brazil, 0.0, 0.0, 46.0, 3.03, 46.0, 2.54
Denmark, 12.0, 4.07, 12.0, 0.79, 24.0, 1.32

Paleoproterozoic
total samples in time period [organic, carbonate] [597.0, 2438.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Australia, 110.0, 18.43, 683.0, 28.01, 793.0, 26.13
Zimbabwe, 37.0, 6.2, 82.0, 3.36, 119.0, 3.92
India, 13.0, 2.18, 112.0, 4.59, 125.0, 4.12
China, 6.0, 1.01, 486.0, 19.93, 492.0, 16.21
Canada, 204.0, 34.17, 465.0, 19.07, 669.0, 22.04
USA, 46.0, 7.71, 1.0, 0.04, 47.0, 1.55
South Africa, 108.0, 18.09, 360.0, 14.77, 468.0, 15.42
Sweden, 3.0, 0.5, 0.0, 0.0, 3.0, 0.1
Brazil, 27.0, 4.52, 10.0, 0.41, 37.0, 1.22
Spain, 0.0, 0.0, 1.0, 0.04, 1.0, 0.03
Russia, 1.0, 0.17, 195.0, 8.0, 196.0, 6.46
Finland, 2.0, 0.34, 12.0, 0.49, 14.0, 0.46
Scotland, 0.0, 0.0, 19.0, 0.78, 19.0, 0.63
Gabon, 40.0, 6.7, 12.0, 0.49, 52.0, 1.71

Archean
total samples in time period [organic, carbonate] [605.0, 794.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Canada, 232.0, 38.35, 248.0, 31.23, 480.0, 34.31
Australia, 104.0, 17.19, 181.0, 22.8, 285.0, 20.37
South Africa, 170.0, 28.1, 109.0, 13.73, 279.0, 19.94
USA, 4.0, 0.66, 0.0, 0.0, 4.0, 0.29
Zimbabwe, 53.0, 8.76, 167.0, 21.03, 220.0, 15.73
Brazil, 10.0, 1.65, 0.0, 0.0, 10.0, 0.71
Greenland, 32.0, 5.29, 47.0, 5.92, 79.0, 5.65
India, 0.0, 0.0, 42.0, 5.29, 42.0, 3.0

