All Data
total samples in time period [organic, carbonate] [9249.0, 17695.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Slovenia, 77.0, 0.83, 0.0, 0.0, 77.0, 0.29
Hungary, 29.0, 0.31, 9.0, 0.05, 38.0, 0.14
Europe, 20.0, 0.22, 19.0, 0.11, 39.0, 0.14
Poland, 8.0, 0.09, 17.0, 0.1, 25.0, 0.09
Germany, 10.0, 0.11, 346.0, 1.96, 356.0, 1.32
UK, 679.0, 7.34, 542.0, 3.06, 1221.0, 4.53
Portugal, 136.0, 1.47, 2095.0, 11.84, 2231.0, 8.28
Columbia, 134.0, 1.45, 0.0, 0.0, 134.0, 0.5
Ukraine, 95.0, 1.03, 161.0, 0.91, 256.0, 0.95
Japan, 205.0, 2.22, 1.0, 0.01, 206.0, 0.76
Argentina, 26.0, 0.28, 0.0, 0.0, 26.0, 0.1
North Pacific Ocean, 29.0, 0.31, 29.0, 0.16, 58.0, 0.22
North America, 7.0, 0.08, 7.0, 0.04, 14.0, 0.05
North Atlantic Ocean, 60.0, 0.65, 60.0, 0.34, 120.0, 0.45
South Atlantic Ocean, 7.0, 0.08, 7.0, 0.04, 14.0, 0.05
Azerbaijan, 14.0, 0.15, 14.0, 0.08, 28.0, 0.1
Arctic Ocean Basin, 20.0, 0.22, 20.0, 0.11, 40.0, 0.15
Iran, 10.0, 0.11, 10.0, 0.06, 20.0, 0.07
Africa, 3.0, 0.03, 3.0, 0.02, 6.0, 0.02
Middle East, 6.0, 0.06, 6.0, 0.03, 12.0, 0.04
Cape Verde, 7.0, 0.08, 7.0, 0.04, 14.0, 0.05
South America, 4.0, 0.04, 4.0, 0.02, 8.0, 0.03
Greece, 9.0, 0.1, 9.0, 0.05, 18.0, 0.07
Barents Sea, 9.0, 0.1, 9.0, 0.05, 18.0, 0.07
Eurasia, 2.0, 0.02, 2.0, 0.01, 4.0, 0.01
Pakistan, 30.0, 0.32, 0.0, 0.0, 30.0, 0.11
Taiwan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
New Zealand, 0.0, 0.0, 21.0, 0.12, 21.0, 0.08
Slovakia, 0.0, 0.0, 32.0, 0.18, 32.0, 0.12
Italy, 0.0, 0.0, 19.0, 0.11, 19.0, 0.07
Bear Island, Svalbard, 0.0, 0.0, 3.0, 0.02, 3.0, 0.01
Belgium, 0.0, 0.0, 116.0, 0.66, 116.0, 0.43
Ireland, 0.0, 0.0, 4.0, 0.02, 4.0, 0.01
Estonia, 0.0, 0.0, 7.0, 0.04, 7.0, 0.03
Latvia, 0.0, 0.0, 8.0, 0.05, 8.0, 0.03
Lithuania, 0.0, 0.0, 26.0, 0.15, 26.0, 0.1

Phanerozoic
total samples in time period [organic, carbonate] [6025.0, 7138.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
USA, 2049.0, 34.01, 1345.0, 18.84, 3394.0, 25.78
Russia, 119.0, 1.98, 720.0, 10.09, 839.0, 6.37
Spitsbergen, 6.0, 0.1, 14.0, 0.2, 20.0, 0.15
India, 79.0, 1.31, 57.0, 0.8, 136.0, 1.03
Mongolia, 0.0, 0.0, 427.0, 5.98, 427.0, 3.24
Canada, 147.0, 2.44, 101.0, 1.41, 248.0, 1.88
China, 214.0, 3.55, 224.0, 3.14, 438.0, 3.33
France, 2.0, 0.03, 9.0, 0.13, 11.0, 0.08
Spain, 0.0, 0.0, 84.0, 1.18, 84.0, 0.64
Namibia, 13.0, 0.22, 13.0, 0.18, 26.0, 0.2
Austria, 109.0, 1.81, 38.0, 0.53, 147.0, 1.12
Slovenia, 77.0, 1.28, 0.0, 0.0, 77.0, 0.58
Hungary, 29.0, 0.48, 9.0, 0.13, 38.0, 0.29
Czechia, 1.0, 0.02, 0.0, 0.0, 1.0, 0.01
Europe, 20.0, 0.33, 19.0, 0.27, 39.0, 0.3
Poland, 8.0, 0.13, 17.0, 0.24, 25.0, 0.19
Germany, 10.0, 0.17, 346.0, 4.85, 356.0, 2.7
UK, 679.0, 11.27, 542.0, 7.59, 1221.0, 9.28
Australia, 1431.0, 23.75, 368.0, 5.16, 1799.0, 13.67
Sweden, 59.0, 0.98, 86.0, 1.2, 145.0, 1.1
Portugal, 136.0, 2.26, 2095.0, 29.35, 2231.0, 16.95
Columbia, 134.0, 2.22, 0.0, 0.0, 134.0, 1.02
Ukraine, 95.0, 1.58, 161.0, 2.26, 256.0, 1.94
South Africa, 3.0, 0.05, 31.0, 0.43, 34.0, 0.26
Japan, 205.0, 3.4, 1.0, 0.01, 206.0, 1.56
Denmark, 87.0, 1.44, 0.0, 0.0, 87.0, 0.66
Greenland, 67.0, 1.11, 0.0, 0.0, 67.0, 0.51
Argentina, 26.0, 0.43, 0.0, 0.0, 26.0, 0.2
North Pacific Ocean, 29.0, 0.48, 29.0, 0.41, 58.0, 0.44
North America, 7.0, 0.12, 7.0, 0.1, 14.0, 0.11
North Atlantic Ocean, 60.0, 1.0, 60.0, 0.84, 120.0, 0.91
South Atlantic Ocean, 7.0, 0.12, 7.0, 0.1, 14.0, 0.11
Azerbaijan, 14.0, 0.23, 14.0, 0.2, 28.0, 0.21
Arctic Ocean Basin, 20.0, 0.33, 20.0, 0.28, 40.0, 0.3
Iran, 10.0, 0.17, 10.0, 0.14, 20.0, 0.15
Africa, 3.0, 0.05, 3.0, 0.04, 6.0, 0.05
Middle East, 6.0, 0.1, 6.0, 0.08, 12.0, 0.09
Cape Verde, 7.0, 0.12, 7.0, 0.1, 14.0, 0.11
Morocco, 3.0, 0.05, 8.0, 0.11, 11.0, 0.08
South America, 4.0, 0.07, 4.0, 0.06, 8.0, 0.06
Greece, 9.0, 0.15, 9.0, 0.13, 18.0, 0.14
Barents Sea, 9.0, 0.15, 9.0, 0.13, 18.0, 0.14
Eurasia, 2.0, 0.03, 2.0, 0.03, 4.0, 0.03
Pakistan, 30.0, 0.5, 0.0, 0.0, 30.0, 0.23
Taiwan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
New Zealand, 0.0, 0.0, 21.0, 0.29, 21.0, 0.16
Slovakia, 0.0, 0.0, 32.0, 0.45, 32.0, 0.24
Italy, 0.0, 0.0, 19.0, 0.27, 19.0, 0.14
Bear Island, Svalbard, 0.0, 0.0, 3.0, 0.04, 3.0, 0.02
Belgium, 0.0, 0.0, 116.0, 1.63, 116.0, 0.88
Ireland, 0.0, 0.0, 4.0, 0.06, 4.0, 0.03
Estonia, 0.0, 0.0, 7.0, 0.1, 7.0, 0.05
Latvia, 0.0, 0.0, 8.0, 0.11, 8.0, 0.06
Lithuania, 0.0, 0.0, 26.0, 0.36, 26.0, 0.2

Neoproterozoic
total samples in time period [organic, carbonate] [1688.0, 5831.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Australia, 329.0, 19.49, 788.0, 13.51, 1117.0, 14.86
Russia, 126.0, 7.46, 888.0, 15.23, 1014.0, 13.49
USA, 86.0, 5.09, 87.0, 1.49, 173.0, 2.3
Kazakhstan, 6.0, 0.36, 0.0, 0.0, 6.0, 0.08
Canada, 532.0, 31.52, 1850.0, 31.73, 2382.0, 31.68
Spain, 5.0, 0.3, 0.0, 0.0, 5.0, 0.07
Norway, 14.0, 0.83, 68.0, 1.17, 82.0, 1.09
China, 49.0, 2.9, 179.0, 3.07, 228.0, 3.03
Sweden, 53.0, 3.14, 23.0, 0.39, 76.0, 1.01
Scotland, 5.0, 0.3, 81.0, 1.39, 86.0, 1.14
Svalbard, 117.0, 6.93, 454.0, 7.79, 571.0, 7.59
Democratic Republic of the Congo, 0.0, 0.0, 8.0, 0.14, 8.0, 0.11
Morocco, 0.0, 0.0, 43.0, 0.74, 43.0, 0.57
Namibia, 144.0, 8.53, 542.0, 9.3, 686.0, 9.12
India, 19.0, 1.13, 215.0, 3.69, 234.0, 3.11
Oman, 1.0, 0.06, 28.0, 0.48, 29.0, 0.39
Greenland, 48.0, 2.84, 84.0, 1.44, 132.0, 1.76
South Africa, 12.0, 0.71, 17.0, 0.29, 29.0, 0.39
Czechia, 13.0, 0.77, 0.0, 0.0, 13.0, 0.17
Spitsbergen, 23.0, 1.36, 7.0, 0.12, 30.0, 0.4
Brazil, 57.0, 3.38, 182.0, 3.12, 239.0, 3.18
Bolivia, 2.0, 0.12, 0.0, 0.0, 2.0, 0.03
Mauritania, 0.0, 0.0, 210.0, 3.6, 210.0, 2.79
Mongolia, 47.0, 2.78, 77.0, 1.32, 124.0, 1.65

Mesoproterozoic
total samples in time period [organic, carbonate] [289.0, 1513.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
USA, 78.0, 26.99, 281.0, 18.57, 359.0, 19.92
Australia, 80.0, 27.68, 253.0, 16.72, 333.0, 18.48
Russia, 20.0, 6.92, 211.0, 13.95, 231.0, 12.82
China, 53.0, 18.34, 337.0, 22.27, 390.0, 21.64
Canada, 40.0, 13.84, 239.0, 15.8, 279.0, 15.48
Zambia, 0.0, 0.0, 15.0, 0.99, 15.0, 0.83
India, 5.0, 1.73, 109.0, 7.2, 114.0, 6.33
Mozambique Belt, 0.0, 0.0, 10.0, 0.66, 10.0, 0.55
Finland, 1.0, 0.35, 0.0, 0.0, 1.0, 0.06
Brazil, 0.0, 0.0, 46.0, 3.04, 46.0, 2.55
Denmark, 12.0, 4.15, 12.0, 0.79, 24.0, 1.33

Paleoproterozoic
total samples in time period [organic, carbonate] [598.0, 2444.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Australia, 108.0, 18.06, 683.0, 27.95, 791.0, 26.0
Zimbabwe, 36.0, 6.02, 82.0, 3.36, 118.0, 3.88
India, 13.0, 2.17, 112.0, 4.58, 125.0, 4.11
China, 10.0, 1.67, 492.0, 20.13, 502.0, 16.5
Canada, 204.0, 34.11, 465.0, 19.03, 669.0, 21.99
USA, 46.0, 7.69, 1.0, 0.04, 47.0, 1.55
South Africa, 108.0, 18.06, 360.0, 14.73, 468.0, 15.38
Sweden, 3.0, 0.5, 0.0, 0.0, 3.0, 0.1
Brazil, 27.0, 4.52, 10.0, 0.41, 37.0, 1.22
Spain, 0.0, 0.0, 1.0, 0.04, 1.0, 0.03
Russia, 1.0, 0.17, 195.0, 7.98, 196.0, 6.44
Finland, 2.0, 0.33, 12.0, 0.49, 14.0, 0.46
Scotland, 0.0, 0.0, 19.0, 0.78, 19.0, 0.62
Gabon, 40.0, 6.69, 12.0, 0.49, 52.0, 1.71

Archean
total samples in time period [organic, carbonate] [649.0, 769.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Canada, 232.0, 35.75, 248.0, 32.25, 480.0, 33.85
Australia, 148.0, 22.8, 181.0, 23.54, 329.0, 23.2
South Africa, 170.0, 26.19, 109.0, 14.17, 279.0, 19.68
USA, 4.0, 0.62, 0.0, 0.0, 4.0, 0.28
Zimbabwe, 53.0, 8.17, 167.0, 21.72, 220.0, 15.51
Brazil, 10.0, 1.54, 0.0, 0.0, 10.0, 0.71
Greenland, 32.0, 4.93, 47.0, 6.11, 79.0, 5.57
India, 0.0, 0.0, 17.0, 2.21, 17.0, 1.2

